customer_id,device_id,first_name,last_name,street,city,state,zipcode,mobilenubmer,opendate,lastupdate
1000,4D-51-E5-8A-F9-58,Hayyim,McGilvra,9918 Vahlen Park,Anaheim,California,92825,714-492-3820,7/8/2016,8/5/2018
1001,C6-13-77-B1-3F-53,Andriana,Kleiner,25 Sachs Drive,Sacramento,California,95852,916-413-3658,12/27/2015,11/29/2017
1002,2E-14-15-86-1F-2D,Dionysus,Henniger,21 Anniversary Circle,Stockton,California,95205,209-734-5055,3/27/2016,10/6/2017
1003,2E-8D-30-54-8C-AF,Smith,Joe,71 Dunning Center,Palo Alto,California,94302,310-596-4867,4/14/2016,4/11/2018
1004,83-E6-24-1E-67-9D,Calley,Moody,90 Atwood Hill,Palo Alto,California,94302,650-212-8200,3/6/2016,8/20/2018
1005,7A-6E-A7-1E-01-59,Stan,Newall,1893 Cherokee Lane,Los Angeles,California,90035,818-944-0460,12/20/2015,1/24/2018
1006,7C-42-55-36-88-25,Amalle,Oganian,466 Morrow Circle,Los Angeles,California,90035,323-557-8034,9/20/2015,2/13/2018
1007,1A-DB-FC-90-30-08,Graham,Andresser,1 Utah Drive,Northridge,California,91328,818-652-0928,9/4/2015,9/28/2017
1008,EF-E7-A5-79-3B-CD,Ross,Spaight,4 Kinsman Way,San Diego,California,92110,858-378-6032,3/26/2016,6/2/2018
1009,84-47-37-94-07-2F,Maynard,Dunbobbin,1 Florence Point,Los Angeles,California,90050,213-231-0879,12/29/2015,3/12/2018
1010,05-F2-58-D0-6B-BA,Ray,Musson,360 Iowa Plaza,Orange,California,92862,714-541-0501,4/21/2016,9/1/2017
1011,D4-6C-CD-1F-19-71,Fielding,Forrestor,793 Ilene Parkway,Los Angeles,California,90020,562-656-4791,3/6/2016,4/2/2018
1012,A8-1E-B3-A1-F9-BA,Jarred,Smallcombe,78754 Havey Terrace,San Diego,California,92186,619-603-4282,11/25/2015,11/23/2017
1013,D2-4E-5D-D1-3C-B3,Aleece,Blethyn,592 Pond Center,Pasadena,California,91186,626-544-5262,9/24/2015,4/4/2018
1014,8E-97-22-82-C2-D1,Alfie,Wainscoat,0325 Magdeline Circle,Fresno,California,93794,559-302-7526,7/31/2016,8/28/2017
1015,AE-A9-D8-40-43-12,Ches,Ledrun,0 Bunker Hill Park,Mountain View,California,94042,650-705-7286,10/14/2015,2/2/2018
1016,D3-21-B5-7F-90-77,Doro,Overthrow,4844 Garrison Circle,San Francisco,California,94116,415-184-1542,8/6/2016,4/8/2018
1017,8F-91-DC-9C-F4-87,Lyon,Simeon,5 Beilfuss Court,San Diego,California,92121,858-132-9332,12/16/2015,2/19/2018
1018,AB-AC-F5-CE-C6-FC,Raeann,Ogles,4 7th Road,Inglewood,California,90305,310-321-7581,1/10/2016,11/17/2017
1019,3F-C6-0E-89-BD-4A,Rufus,Dooly,77184 Farmco Drive,Fresno,California,93750,559-263-9513,1/9/2016,11/11/2017
1020,D2-4C-27-65-DF-C7,Sven,Freear,296 Spenser Crossing,Van Nuys,California,91411,213-796-1359,2/16/2016,12/30/2017
1021,1F-7B-63-4F-5F-B9,Karalee,Giddings,982 Anderson Road,Sacramento,California,94263,916-173-1314,3/29/2016,4/7/2018
1022,C9-B0-29-15-27-60,Trudey,Stiggles,27 Manitowish Center,Los Angeles,California,90071,818-741-5363,11/16/2015,12/9/2017
1023,6B-AA-DF-2C-AA-A3,Geri,Alejandri,10 Cody Crossing,North Hollywood,California,91606,323-690-2984,5/10/2016,12/23/2017
1024,A6-26-36-9F-3E-95,Cornela,Thurnham,79534 Hovde Avenue,Riverside,California,92519,951-973-9997,2/3/2016,1/14/2018
1025,B8-BB-B9-D4-91-44,Araldo,Komorowski,7417 Towne Circle,San Diego,California,92105,858-183-7408,7/31/2016,4/10/2018
1026,E9-9B-8E-54-B6-D0,Gonzalo,Canby,9102 Oakridge Way,Los Angeles,California,90189,213-768-4604,1/21/2016,3/1/2018
1027,E9-50-DC-7C-D5-7E,Neely,Brickham,55929 Mayfield Street,Pasadena,California,91109,818-542-6662,9/1/2015,2/21/2018
1028,DB-EF-B6-FC-AD-A3,Bertie,Bembrick,4 Myrtle Road,Oakland,California,94627,510-826-2351,11/8/2015,5/11/2018
1029,1D-F1-82-BC-80-E2,Ossie,Yarrow,2 Eliot Avenue,San Diego,California,92127,619-161-4379,1/5/2016,5/4/2018
1030,87-06-70-F0-AB-1C,Lynnell,Tatters,23863 Holmberg Parkway,Irvine,California,92717,714-468-3771,10/24/2015,9/22/2017
1031,1F-BB-02-87-E2-EC,Cassandry,Clotworthy,9592 Rockefeller Way,Sacramento,California,95833,530-573-3925,1/27/2016,10/31/2017
1032,1E-EF-19-24-0B-0F,Hermia,Howlett,0 Sycamore Pass,Sacramento,California,94280,916-223-0775,12/28/2015,7/22/2018
1033,15-2E-64-09-92-3D,Bianka,Greated,63 Corscot Road,San Francisco,California,94142,415-958-6900,12/21/2015,3/21/2018
1034,FB-FC-E0-C6-BC-91,Jackquelin,Browne,97472 Coleman Avenue,Sacramento,California,95823,916-600-6094,8/2/2016,2/4/2018
1035,E4-F9-5C-6E-B3-C9,Jsandye,Trebble,4 Glendale Avenue,Los Angeles,California,90050,213-279-1026,9/27/2015,4/12/2018
1036,73-7C-C7-AF-7E-CB,Curtis,Acory,668 Morning Circle,San Diego,California,92186,619-792-8324,2/10/2016,3/10/2018
1037,AB-8C-94-D2-12-78,Terry,Feldstern,9933 Oak Valley Street,Los Angeles,California,90010,626-584-9914,6/5/2016,9/20/2017
1038,16-1B-30-83-66-A9,Armin,Addicote,888 Petterle Court,Los Angeles,California,90060,323-523-6692,2/7/2016,10/6/2017
1039,3D-2C-7E-C6-54-9B,Roanna,Moule,39983 Sugar Parkway,Los Angeles,California,90094,323-109-0735,9/3/2015,12/16/2017
1040,94-16-B6-AE-9B-F2,Warden,Leyden,07288 Eggendart Avenue,Riverside,California,92505,909-352-5065,1/28/2016,10/5/2017
1041,4C-6B-32-A5-D5-65,Jorie,Whymark,134 Mallory Crossing,Los Angeles,California,90094,323-196-9874,5/9/2016,12/29/2017
1042,73-47-39-E2-33-78,Nanice,Perrelli,78133 Graedel Junction,North Hollywood,California,91616,213-305-1049,10/30/2015,5/24/2018
1043,1C-22-56-8F-47-FE,Jocelyne,Gye,1 Quincy Street,San Francisco,California,94164,415-167-9464,4/5/2016,1/7/2018
1044,0B-92-43-92-77-06,Fabe,Cuardall,1929 Haas Point,Concord,California,94522,925-591-4699,9/6/2015,2/19/2018
1045,0C-C8-4A-9F-91-F3,Percy,Creaser,6420 Hanson Plaza,Fresno,California,93740,559-101-1856,8/2/2016,10/28/2017
1046,39-8E-27-0A-35-D7,Letty,Samms,9 Stang Road,Irvine,California,92717,714-105-5327,12/2/2015,11/10/2017
1047,58-D1-79-C5-85-88,Kris,Boyd,2 John Wall Drive,Fullerton,California,92640,559-241-3346,5/12/2016,3/24/2018
1048,FD-D1-67-53-36-DE,Rochell,Goodbanne,24876 Cascade Court,Chico,California,95973,530-718-0334,2/5/2016,10/13/2017
1049,B3-63-62-39-DA-06,Damien,Esmonde,9055 Scofield Avenue,North Hollywood,California,91616,213-990-6155,6/28/2016,4/21/2018
1050,08-5C-98-E5-F6-A9,Carri,Izon,02 Scoville Alley,San Luis Obispo,California,93407,805-341-4037,7/9/2016,2/1/2018
1051,FB-9B-58-C0-43-AE,Barbee,Stanhope,33 Center Terrace,San Jose,California,95118,408-907-9027,6/22/2016,5/2/2018
1052,3E-C0-4B-BB-22-31,Deirdre,Windress,0420 David Terrace,Berkeley,California,94712,510-301-1535,4/13/2016,6/27/2018
1053,03-8C-B5-8A-15-F9,Collen,Tooth,227 Express Avenue,Irvine,California,92619,949-396-1937,7/20/2016,2/16/2018
1054,6F-D6-28-48-03-17,Hersh,Brimilcombe,454 Basil Center,Sacramento,California,94245,916-381-1477,5/29/2016,11/26/2017
1055,A3-24-BA-73-8D-AC,Lanette,Nisot,4 Leroy Center,Los Angeles,California,90020,562-170-5272,5/25/2016,9/25/2017
1056,56-11-3E-6A-5A-24,Ax,Navan,7952 Arkansas Hill,Northridge,California,91328,818-878-2735,7/23/2016,11/28/2017
1057,09-D7-3F-07-23-C4,Jade,Landall,6250 Hanover Lane,San Jose,California,95194,408-423-0948,11/3/2015,6/29/2018
